,"deklination ","stamme"
"διαπαρατριβή,3859,true","1. (-η)","α-stamme"
"διασπορά,1290,false","1. (-ᾱ)","α-stamme"
"διάστημα,1292,false","3.","τ-stamme"
"διαστολή,1293,false","1. (-η)","α-stamme"
"διαταγή,1296,false","1. (-η)","α-stamme"
"διάταγμα,1297,false","3.","τ-stamme"
"διατροφή,1305,false","1. (-η)","α-stamme"
"διαφθορά,1312,false","1. (-ᾱ)","α-stamme"
"διδασκαλία,1319,false","1. (-ᾱ)","α-stamme"
"διδάσκαλος,1320,false","2.","ο-stamme"
"διδαχή,1322,false","1. (-η)","α-stamme"
"δίδραχμον,1323,false","2.","ο-stamme"
"Δίδυμος,1324,false","2.","ο-stamme"
"διέξοδος,1327,false","2.","ο-stamme"
"διερμηνευτής,1328,false","1. (-η)","α-stamme"
"διετία,1333,false","1. (-ᾱ)","α-stamme"
"διήγησις,1335,false","3.","ι-stamme"
"δικαιοκρισία,1341,false","1. (-ᾱ)","α-stamme"
"δικαιοσύνη,1343,false","1. (-η)","α-stamme"
"δικαίωμα,1345,false","3.","τ-stamme"
"δικαίωσις,1347,false","3.","ι-stamme"
"δικαστής,1348,false","1. (-η)","α-stamme"
"δίκη,1349,false","1. (-η)","α-stamme"
"δίκτυον,1350,false","2.","ο-stamme"
"Διονύσιος,1354,false","2.","ο-stamme"
"διόρθωμα,1357,true","3.","τ-stamme"
"διόρθωσις,1357,false","3.","ι-stamme"
"Διόσκουροι,1359,false","2.","ο-stamme"
"Διοτρέφης,1361,false","3.","ς-stamme"
